state_code,state,gini,crude_rate,age_adjusted_rate,ffl,median_income,poverty_prop,unemployed_prop,blue_collar_prop,hs_prop,college_prop,below_hs_prop,some_college_prop,total_pop,male_prop,white_prop,black_prop,native_prop,asian_prop,hispanic_prop,median_age,geriatric_prop,age_15_24_prop,age_25_44_prop,age_45_64_prop,ffl_per_100000
46,South Dakota,0.4438,15.58,15.75,552,68419,14.0,4.1,24.1,30.8,27.5,8.8,32.9,851058,50.3,82.9,1.6,8.4,1.3,3.4,36.8,15.2,13.8,24.5,25.8,64.86
47,Tennessee,0.4786,14.49,14.17,1466,65368,17.2,7.5,24.4,32.8,25.4,14,27.8,6548009,48.7,74.5,16.7,0.2,1.6,5.0,38.5,15.0,13.4,26,26.6,22.39
48,Texas,0.4803,11.04,11.32,5807,77585,16.7,6.4,22.8,25.1,28.1,17.700000000000003,29.2,26956435,49.6,43.4,11.6,0.2,4.3,38.6,34.2,11.5,14.399999999999999,28,23.8,21.54
49,Utah,0.4261,16.55,18.01,713,79414,11.7,5.1,21.1,23.0,31.7,8.5,36.900000000000006,2948427,50.3,79.3,1.0,0.9,2.2,13.5,30.3,10.0,16.1,28.1,19.8,24.18
50,Vermont,0.4435,15.02,14.23,303,73016,11.6,5.0,20.8,29.9,36.2,8.1,25.9,626249,49.3,93.4,1.1,0.3,1.5,1.7,42.6,17.0,14.399999999999999,23,29.900000000000002,48.38
51,Virginia,0.4673,12.07,11.77,1650,90881,11.4,5.9,17.9,24.5,36.9,11.3,27.299999999999997,8310301,49.2,63.1,18.9,0.2,6.0,8.7,37.8,13.8,13.7,27.1,26.799999999999997,19.85
53,Washington,0.456,14.02,13.69,1110,84022,12.7,6.8,21,22.9,33.6,9.4,34.1,7073146,49.9,70.4,3.5,1.1,7.7,12.1,37.6,14.0,13.100000000000001,27.5,26.5,15.69
54,West Virginia,0.4621,15.84,15.18,957,57779,17.7,7.5,24.5,40.5,19.6,14.6,25.3,1846092,49.4,92.4,3.4,0.2,0.7,1.4,41.9,17.8,12.7,24.200000000000003,28.4,51.84
55,Wisconsin,0.4435,12.79,12.57,1558,71459,12.7,5.5,25.1,31.7,28.4,8.7,31.3,5754798,49.7,82.1,6.2,0.8,2.6,6.5,39.1,15.2,13.7,24.7,27.8,27.07
56,Wyoming,0.4279,21.53,21.5,608,74667,11.6,4.9,28.200000000000003,29.2,26.0,7.6,37.2,583029,51.1,84.4,1.1,2.0,0.9,9.7,36.8,13.8,13.5,26.1,26.4,104.28
